px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
17.8213	5.94475	4.88471	0.902702	0.426691	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	1.17825
18.0606	6.13971	5.00947	0.882413	0.364973	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.500584
18.1949	6.35174	4.98841	0.922911	0.402409	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.751034
18.2608	6.59967	4.94512	1.00162	0.487175	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.554014
18.3991	6.81574	4.96386	1.02494	0.485724	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.179251
18.5503	6.92816	4.86139	1.00096	0.417749	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	1.99075
18.7391	7.13359	4.95293	0.983574	0.353043	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.483682
19.0472	7.26811	5.05879	0.88602	0.185874	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	1.74831
19.0001	7.46401	4.75215	1.02089	0.390793	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	5.88646
19.0466	7.74472	4.77286	1.10672	0.485374	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	1.27649
19.2024	7.94756	4.83518	1.09128	0.417994	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.522667
19.2025	8.15716	4.71039	1.17094	0.503888	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	0.604219
19.3409	8.35763	4.7849	1.14094	0.397892	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.49581
19.3909	8.48477	4.60565	1.16204	0.402278	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	2.27983
19.5004	8.68844	4.61565	1.16733	0.379913	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.386393
19.8479	8.88501	4.83731	1.02799	0.149865	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	2.87449
19.8263	9.09537	4.64305	1.14482	0.333323	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	2.84507
20.0639	9.35213	4.84966	1.08868	0.22797	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	1.71941
19.9865	9.562	4.60608	1.23388	0.447193	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	4.12574
20.1185	9.82075	4.72495	1.23206	0.411829	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0.678299
20.1704	10.0726	4.76697	1.26658	0.421938	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	7.31359
20.1909	10.3567	4.81803	1.33114	0.483159	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	0.928591
20.1539	10.5839	4.7325	1.41414	0.57202	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	1.96134
20.3058	10.8805	4.9202	1.38016	0.479689	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.66037
20.3163	11.1404	4.939	1.42327	0.500428	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	4.95314
20.3277	11.3711	4.90677	1.46074	0.518771	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0.0515956
20.1679	11.5991	4.77231	1.61368	0.715267	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	6.87132
20.4576	11.8833	4.98599	1.4552	0.432767	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	3.47965
20.4536	12.1144	4.96749	1.48046	0.421551	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	3.03768
20.3813	12.3989	5.0001	1.5658	0.513472	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	0.956324
20.25	12.6192	4.89775	1.68744	0.668699	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	1.92901
20.4035	12.8848	4.98311	1.59949	0.492382	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.18624
20.3531	13.1086	4.92164	1.6626	0.56375	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	2.30514
20.2289	13.283	4.79242	1.75553	0.659364	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.12968
20.2246	13.5216	4.8187	1.73754	0.559031	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.7096
20.2845	13.8114	4.91223	1.69527	0.455633	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	0.716631
20.1705	14.0191	4.84699	1.78548	0.568338	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	1.23752
20.1274	14.2814	4.89493	1.80478	0.554342	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.207396
20.0352	14.5006	4.87723	1.84629	0.563835	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.54055
19.8528	14.7264	4.89162	1.9509	0.674548	19.781	14.773	19.934	14.6897	-1.30687	4.62805	0.677819
